 5.000000000000D-01  0.6853D+00          2.500000000000D-01
 5.000000000000D-01  3.147000000000D-01  0.75D+00 
 0.000000000000D+00  1.795000000000D-01  2.500000000000D-01
 0.000000000000D+00  0.8205D+00          0.75D+00 
 2.108000000000D-01  1.024000000000D-01  0.9419D+00 
 0.7892D+00          1.024000000000D-01  0.5581D+00 
 0.7892D+00          0.8976D+00          5.810000000000D-02
 2.108000000000D-01  0.8976D+00          4.419000000000D-01
 2.516000000000D-01  3.752000000000D-01  3.931000000000D-01
 0.7484D+00         3.752000000000D-01  1.069000000000D-01
 0.7484D+00         0.6248D+00          0.6069D+00 
 2.516000000000D-01  0.6248D+00          0.8931D+00 
